demarcation.code,opinion.code,Debt to Community Wealth/Equity,Capital Expenditure % Total Expenditure,"Impairment of PPE, IP and IA %",Repairs and Maintenance % PPE +IP,Debt to Total Operating Revenue,Current Ratio,Capital Cost % Total Operating Expenditure,Net Operating Surplus Margin %,Remuneration % Total Operating Expenditure,Contracted Services % Total Operating Expenditure,Own Source Revenue to Total Operating Revenue,Net Surplus / Deficit Water %,Net Surplus / Deficit Elec %
FS162,qualified,31.770741108490988,23.9335446807936,1.2184416306998944,1.6404139028116926,0.7275494299433828,0.08390389230192617,0.0,-3.5604860891681467,36.76670350356265,0.0,90.20569694018678,-1884823500.0,-2913405500.0
FS163,qualified,14.866974893255167,20.562612172794022,5.836270120286333,0.6563666133125567,0.4461237024743093,0.8709591128366292,0.938331922151198,1.7367127963044546,30.63892207324514,4.28973226632204,95.23358402091957,99.99998666092199,12.287205273128206
FS164,disclaimer,17.180253092998537,18.52024805738195,6.242720968283002,0.40051129100979976,0.3984463960489369,0.4281729349464904,1.9852823181495152,24.03770896225647,70.18377043167281,0.0,99.77796950763823,0.0,0.0
FS181,qualified,15.50385661361115,18.700841338468077,6.682424900216067,1.4750895878835657,0.4557698912809072,0.9903802043411012,0.5497838385977296,-6.6961761910932385,30.54308304339339,1.4011085286910188,91.78118730133696,-189092800.0,-3008171800.0
FS182,qualified,3.31333293537152,49.10963347409898,3.912547053477145,0.6166582348679859,0.12558021769948996,1.2895898927916616,0.5683017767900498,44.323418994362925,28.043659830355892,4.242616620259184,99.82873120944522,99.74314283886385,-169.25706218835194
FS183,unqualified_emphasis_of_matter,14.278106335252595,22.72698416416827,5.059041902392021,1.7480441135983282,0.3620031823558363,1.2637577184362896,2.854263130357476,11.142879301175013,33.75923943839826,0.0,100.0,91.42673340251093,64.39448541728356
FS184,disclaimer,30.754306259490942,11.478376539700673,4.7196240250811465,0.0,0.9586214654057272,0.4352645452605019,5.6459045351561,-27.941694588299484,1.147178841462552,0.0,98.23704221828457,0.0,0.0
FS185,disclaimer,38.757120821051664,5.737151672624093,9.047210300429184,0.4050637801088468,0.7879840420775749,0.2815344249672552,4.095464798431654,-24.12620536601813,37.71854155484765,5.620665091815551,100.0,-2542977300.0,-4907509800.0
FS191,qualified,3.757390201493044,15.525378436091788,5.8456259665194334,0.8657629121653005,0.30898217693032715,1.809679505069393,0.2261692107253243,-25.872169680801253,24.885593229934763,0.0,98.1703218023518,0.0,-4843686700.0
FS192,unqualified_emphasis_of_matter,15.59646557930884,12.97967898613128,3.6739911233500497,0.0,0.4462133439408373,0.4095135309897603,1.813666744821508,1.5501052618147526,69.39349743373658,0.0,100.0,0.0,0.0
FS193,unqualified_emphasis_of_matter,13.323779547804152,18.542917920262113,10.814256861002075,1.4739562432942082,0.29645444958918915,1.6144911066120056,0.8429453852094738,2.6333354695595053,23.437449828575048,4.663460711755409,100.0,-141168400.0,-3580593800.0
FS194,disclaimer,16.29640424964902,21.483105806799387,7.353381724175002,2.7332643632609988,0.3671449683389416,0.9775052212950798,0.5231273734335055,-14.727489839679869,15.041940263633457,10.705943587737227,93.84806349096722,99.99999791296966,-45.55740480206418
FS195,disclaimer,17.265374729050983,39.826485063980094,4.737631735744072,2.2686927644035277,0.5310810715258135,0.0533346679286978,1.351077006901647,3.456808262396431,39.27397108026428,1.84752882465933,100.0,76.79812677419386,-20.120314767476454
FS196,disclaimer,13.349310467550454,13.14566979846334,4.047715157937954,0.8649279290111984,0.40885813456464903,1.0774625123287636,0.2904468422180089,-19.684974480602765,19.150609861791228,1.3262686218038164,94.52375807066471,94.786444588033,18.50092173659576
FS201,disclaimer,13.705067123950382,12.518470146126079,13.216414174652689,1.7336017365107306,0.4261306531043573,1.325270856915403,1.5845864830750769,-10.365373337389595,84.5713381330811,0.0,100.0,0.0,0.0
FS203,disclaimer,34.006891296464836,3.5451915724235983,7.547598354334141,1.6289475987169797,0.7869651082658388,1.0854599737337194,0.5391402864379701,-13.79074994052457,25.492675962298712,0.0,100.0,78.81343311215873,15.80424873737068
FS204,qualified,30.274618027825852,17.811207334533698,4.591159451059996,7.065578001661715,0.382465743420664,0.9113874867832576,0.1757636447162612,0.10797911827440283,24.41787511296276,3.003206175906893,95.37015732962429,33.626722883193466,-5.94190793320681
FS205,disclaimer,12.050669689577726,13.8482628262935,7.165583076636968,0.8833216836474909,1.020944232645456,0.2563868500121623,2.351608441583151,-65.95039831519179,23.27634503150836,0.0,95.96312737927369,0.0,0.0
GT421,unqualified_emphasis_of_matter,9.633179743447712,7.517636766560678,4.325083848350689,0.8827808339731822,0.25801638165744384,0.9402211123047052,0.754612702839681,-2.2462647102748905,17.62970768549771,1.9218624079001116,100.0,29.44953574226385,-76.30896069537359
GT422,unqualified_emphasis_of_matter,16.49411387582935,16.252853367828372,5.101722356749436,1.3354475962193726,0.4912598703705701,1.4880438047365976,2.4663550976240325,1.6514858703918982,20.482653697018687,8.570364637274642,99.87916241845929,30.02602644065212,21.506340676594085
GT423,unqualified_emphasis_of_matter,26.167438526151894,13.402702388989574,4.468183436080783,3.1176372786408533,0.3931522973232065,0.588147047985558,1.4309448153266782,-6.354337374014097,21.766337424052555,0.0,100.0,99.99999830512104,-45.5614806008953
GT481,unqualified_emphasis_of_matter,21.05606755226052,17.504287442522358,4.214944245355022,1.2175855939079574,0.5965235133272133,0.9264874561014655,2.4003793266055093,-2.4609908840567405,24.608275972530894,8.820088721066766,98.23966217680096,-3.1721731533386106,22.931691441045896
GT482,qualified,13.667498755978684,7.898914826822475,4.007590348004471,0.4724977910568499,0.4471064407108814,0.5138576465421351,2.1919288281647153,-10.003016579860876,26.744042974746762,0.0,99.94335821076679,99.99999853055576,-33.471689471769984
GT483,qualified,19.24063519478201,16.229525991291972,6.040151558548003,0.6735360923317083,0.5412591137946918,0.6027462451237677,1.5171189057936103,-2.451515674362689,28.763228580518927,3.962573826327061,100.0,5.421995473773148,21.002399555379053
GT484,unqualified_emphasis_of_matter,26.67402051401897,16.881149394545545,3.7091591800297583,1.4782116861307681,0.5642277008033418,1.1386505603504742,0.5990863339717769,11.427922004551823,23.90046610878613,5.546919891250574,100.0,34.04607179165714,28.798823913093404
JHB,unqualified_emphasis_of_matter,97.37954650286446,16.194369988277348,4.651901599783929,4.439512056688148,0.8589482639658311,1.0016890783803731,4.623712582038235,10.099213725385972,23.95277512418963,0.0,99.5615414477275,0.0,0.0
KZN211,disclaimer,14.529475622668102,19.77650338038659,7.869007038339522,0.8929127541300463,0.304759544054177,1.1533218032297048,0.6000544823779949,6.7760715932940485,36.44870906224886,0.0,89.1984082740679,0.0,0.0
KZN212,unqualified_emphasis_of_matter,14.940357519898848,20.618161816372005,4.122698938549742,1.5865254762423335,0.5602426175731178,2.179573379470574,0.009213132344203687,2.188325740069581,41.17050029284381,10.506878090760466,100.0,0.0,0.0
KZN213,unqualified_emphasis_of_matter,10.677406825352275,39.593575097959096,5.089303889537791,0.4874115765726784,0.16859972188790803,3.451954856719253,0.04130777703783557,46.793505547016466,44.25122265356869,0.0,100.0,0.0,0.0
KZN214,unqualified_emphasis_of_matter,20.04843658039375,18.6735534886871,3.3795513030398703,0.0,0.3054900208995029,1.591279454990989,0.11967536311720915,24.4992960080196,38.11484989830546,0.4207025218674454,97.10120256537277,0.0,11.622393364385081
